,z,y,x,x_um,y_um,z_um
1,9,155,253,46.3574683,28.400820500000002,1.9816362
2,10,50,329,60.283031900000005,9.161555,2.2018180000000003
3,10,52,293,53.6867123,9.5280172,2.2018180000000003
4,10,55,353,64.68057830000001,10.0777105,2.2018180000000003
5,10,57,354,64.86380940000001,10.444172700000001,2.2018180000000003
6,10,61,319,58.4507209,11.177097100000001,2.2018180000000003
7,10,62,299,54.7860989,11.3603282,2.2018180000000003
8,10,97,294,53.869943400000004,17.773416700000002,2.2018180000000003
9,10,136,261,47.823317100000004,24.9194296,2.2018180000000003
10,10,158,287,52.5873257,28.9505138,2.2018180000000003
11,11,68,287,52.5873257,12.4597148,2.4219998
12,11,68,330,60.466263000000005,12.4597148,2.4219998
13,11,90,318,58.2674898,16.490799,2.4219998
14,11,101,294,53.869943400000004,18.5063411,2.4219998
15,11,106,266,48.7394726,19.422496600000002,2.4219998
16,11,130,230,42.143153000000005,23.820043000000002,2.4219998
17,11,132,271,49.6556281,24.186505200000003,2.4219998
18,11,152,215,39.3946865,27.8511272,2.4219998
19,11,159,244,44.708388400000004,29.1337449,2.4219998
20,12,63,368,67.4290448,11.5435593,2.6421816000000002
21,12,68,332,60.832725200000006,12.4597148,2.6421816000000002
22,12,78,309,56.6184099,14.292025800000001,2.6421816000000002
23,12,79,292,53.5034812,14.4752569,2.6421816000000002
24,12,82,313,57.351334300000005,15.024950200000001,2.6421816000000002
25,12,86,278,50.938245800000004,15.757874600000001,2.6421816000000002
26,12,94,359,65.7799649,17.2237234,2.6421816000000002
27,12,98,356,65.23027160000001,17.956647800000002,2.6421816000000002
28,12,99,190,34.813909,18.1398789,2.6421816000000002
29,12,101,346,63.397960600000005,18.5063411,2.6421816000000002
30,12,114,309,56.6184099,20.888345400000002,2.6421816000000002
31,12,131,194,35.546833400000004,24.003274100000002,2.6421816000000002
32,12,132,286,52.4040946,24.186505200000003,2.6421816000000002
33,12,136,211,38.661762100000004,24.9194296,2.6421816000000002
34,12,165,242,44.3419262,30.233131500000002,2.6421816000000002
35,12,167,294,53.869943400000004,30.5995937,2.6421816000000002
36,13,45,375,68.7116625,8.2453995,2.8623634
